Truth,Time,Substream_ID,Value0,Value1,Value2,Value3,Critical
B,5560,0,Male,42,209,brown,False
C,5561,0,Male,45,158,brown,False
D,5562,0,Male,66,166,brown,True
B,5563,0,Male,36,212,brown,False
A,5564,0,Male,19,168,blonde,False
B,5565,0,Male,43,219,blonde,False
A,5566,0,Male,17,167,brown,False
B,5567,0,Male,40,215,blonde,False
A,5568,0,Male,17,173,blonde,False
C,5569,0,Male,36,163,blonde,False
D,5570,0,Male,66,173,blonde,True
B,5571,0,Male,34,207,brown,False
A,5572,0,Male,19,169,brown,False
B,5573,0,Male,32,210,brown,False
A,5574,0,Male,19,180,blonde,False
B,5575,0,Male,43,220,brown,False
C,5576,0,Male,34,163,blonde,False
A,5577,0,Male,16,165,blonde,False
B,5578,0,Male,42,217,blonde,False
C,5579,0,Male,32,158,brown,False
A,5580,0,Male,20,179,blonde,False
C,5581,0,Male,41,158,brown,False
D,5582,0,Male,74,177,brown,True
B,5583,0,Male,32,200,blonde,False
A,5584,0,Male,22,165,blonde,False
B,5585,0,Male,42,217,blonde,False
C,5586,0,Male,34,159,blonde,False
D,5587,0,Male,67,178,brown,True
B,5588,0,Male,45,216,brown,False
A,5589,0,Male,18,167,brown,False
B,5590,0,Male,35,204,blonde,False
A,5591,0,Male,25,176,brown,False
B,5592,0,Male,33,212,blonde,False
A,5593,0,Male,22,166,brown,False
B,5594,0,Male,40,202,brown,False
C,5595,0,Male,42,155,blonde,False
D,5596,0,Male,73,168,brown,True
B,5597,0,Male,38,212,brown,False
C,5598,0,Male,32,156,blonde,False
D,5599,0,Male,78,167,blonde,True
B,5600,0,Male,41,214,blonde,False
C,5601,0,Male,45,161,brown,False
D,5602,0,Male,66,177,brown,True
D,5603,0,Male,71,169,blonde,True
D,5604,0,Male,73,166,blonde,True
B,5605,0,Male,32,201,brown,False
A,5606,0,Male,16,165,brown,False
B,5607,0,Male,38,214,brown,False
A,5608,0,Male,22,175,brown,False
C,5609,0,Male,43,157,brown,False
D,5610,0,Male,73,171,brown,True
B,5611,0,Male,40,206,brown,False
A,5612,0,Male,20,168,blonde,False
B,5613,0,Male,35,207,blonde,False
A,5614,0,Male,17,175,blonde,False
B,5615,0,Male,38,209,brown,False
A,5616,0,Male,23,174,blonde,False
B,5617,0,Male,32,218,blonde,False
A,5618,0,Male,18,165,brown,False
B,5619,0,Male,34,215,brown,False
C,5620,0,Male,38,161,blonde,False
D,5621,0,Male,66,173,brown,True
B,5622,0,Male,32,206,blonde,False
A,5623,0,Male,16,176,brown,False
B,5624,0,Male,41,216,brown,False
C,5625,0,Male,44,158,blonde,False
D,5626,0,Male,70,177,brown,True
B,5627,0,Male,43,211,blonde,False
A,5628,0,Male,24,169,blonde,False
B,5629,0,Male,41,214,blonde,False
C,5630,0,Male,34,157,brown,False
D,5631,0,Male,78,178,blonde,True
D,5632,0,Male,69,175,brown,True
D,5633,0,Male,67,171,blonde,True
D,5634,0,Male,68,166,blonde,True
D,5635,0,Male,78,178,brown,True
B,5636,0,Male,43,212,brown,False
A,5637,0,Male,23,172,blonde,False
B,5638,0,Male,44,200,brown,False
C,5639,0,Male,39,157,brown,False
D,5640,0,Male,77,171,brown,True
B,5641,0,Male,37,212,blonde,False
A,5642,0,Male,25,166,brown,False
B,5643,0,Male,45,212,brown,False
C,5644,0,Male,44,160,blonde,False
D,5645,0,Male,77,165,blonde,True
D,5646,0,Male,77,169,blonde,True
B,5647,0,Male,33,213,blonde,False
C,5648,0,Male,42,163,blonde,False
D,5649,0,Male,69,171,brown,True
D,5650,0,Male,79,179,brown,True
D,5651,0,Male,80,175,brown,True
B,5652,0,Male,41,210,blonde,False
A,5653,0,Male,19,167,blonde,False
B,5654,0,Male,38,212,brown,False
C,5655,0,Male,34,155,blonde,False
D,5656,0,Male,70,173,brown,True
D,5657,0,Male,65,169,blonde,True
B,5658,0,Male,36,201,brown,False
C,5659,0,Male,37,160,brown,False
D,5660,0,Male,70,168,brown,True
B,5661,0,Male,41,203,blonde,False
C,5662,0,Male,34,159,blonde,False
D,5663,0,Male,80,176,brown,True
B,5664,0,Male,40,219,blonde,False
A,5665,0,Male,20,169,blonde,False
C,5666,0,Male,42,156,brown,False
D,5667,0,Male,74,180,brown,True
D,5668,0,Male,73,177,blonde,True
B,5669,0,Male,38,219,blonde,False
A,5670,0,Male,16,172,blonde,False
B,5671,0,Male,33,211,blonde,False
C,5672,0,Male,35,163,blonde,False
D,5673,0,Male,75,169,brown,True
B,5674,0,Male,33,220,blonde,False
A,5675,0,Male,16,178,brown,False
B,5676,0,Male,32,201,brown,False
C,5677,0,Male,34,156,brown,False
D,5678,0,Male,72,175,brown,True
D,5679,0,Male,80,174,brown,True
B,5680,0,Male,44,220,blonde,False
C,5681,0,Male,38,159,blonde,False
D,5682,0,Male,65,173,blonde,True
B,5683,0,Male,44,207,blonde,False
A,5684,0,Male,24,165,brown,False
B,5685,0,Male,44,200,blonde,False
C,5686,0,Male,33,164,brown,False
D,5687,0,Male,69,173,blonde,True
B,5688,0,Male,35,213,blonde,False
A,5689,0,Male,20,173,brown,False
B,5690,0,Male,41,206,blonde,False
A,5691,0,Male,25,167,brown,False
C,5692,0,Male,38,163,brown,False
D,5693,0,Male,69,166,blonde,True
B,5694,0,Male,32,213,blonde,False
A,5695,0,Male,22,179,brown,False
B,5696,0,Male,40,200,brown,False
A,5697,0,Male,18,165,blonde,False
B,5698,0,Male,39,209,brown,False
A,5699,0,Male,21,168,brown,False
B,5700,0,Male,44,217,brown,False
C,5701,0,Male,39,159,brown,False
D,5702,0,Male,76,173,blonde,True
D,5703,0,Male,76,176,brown,True
B,5704,0,Male,36,216,brown,False
C,5705,0,Male,42,158,brown,False
D,5706,0,Male,69,167,brown,True
B,5707,0,Male,40,219,blonde,False
C,5708,0,Male,34,162,blonde,False
A,5709,0,Male,19,178,brown,False
B,5710,0,Male,36,219,brown,False
A,5711,0,Male,22,167,blonde,False
B,5712,0,Male,37,215,brown,False
A,5713,0,Male,20,179,brown,False
B,5714,0,Male,40,206,blonde,False
A,5715,0,Male,19,175,blonde,False
B,5716,0,Male,35,220,blonde,False
A,5717,0,Male,17,165,brown,False
B,5718,0,Male,36,220,brown,False
A,5719,0,Male,23,178,blonde,False
B,5720,0,Male,35,207,brown,False
A,5721,0,Male,20,168,brown,False
B,5722,0,Male,34,209,brown,False
A,5723,0,Male,22,167,blonde,False
B,5724,0,Male,38,214,blonde,False
A,5725,0,Male,23,170,brown,False
C,5726,0,Male,33,164,blonde,False
D,5727,0,Male,76,175,brown,True
D,5728,0,Male,76,173,blonde,True
B,5729,0,Male,37,217,brown,False
A,5730,0,Male,19,173,blonde,False
B,5731,0,Male,35,208,brown,False
A,5732,0,Male,23,180,blonde,False
B,5733,0,Male,37,217,blonde,False
A,5734,0,Male,16,171,blonde,False
C,5735,0,Male,44,155,brown,False
D,5736,0,Male,80,167,blonde,True
B,5737,0,Male,41,204,brown,False
A,5738,0,Male,25,170,brown,False
B,5739,0,Male,37,218,blonde,False
C,5740,0,Male,37,159,brown,False
D,5741,0,Male,65,174,brown,True
B,5742,0,Male,38,208,brown,False
A,5743,0,Male,25,167,brown,False
C,5744,0,Male,41,160,blonde,False
D,5745,0,Male,74,167,blonde,True
B,5746,0,Male,40,200,blonde,False
C,5747,0,Male,35,158,brown,False
D,5748,0,Male,74,178,blonde,True
B,5749,0,Male,38,201,brown,False
A,5750,0,Male,24,178,blonde,False
B,5751,0,Male,41,201,blonde,False
A,5752,0,Male,21,176,blonde,False
B,5753,0,Male,33,216,blonde,False
C,5754,0,Male,40,156,blonde,False
D,5755,0,Male,69,168,blonde,True
D,5756,0,Male,69,177,brown,True
B,5757,0,Male,35,204,brown,False
A,5758,0,Male,20,173,brown,False
B,5759,0,Male,40,203,blonde,False
A,5760,0,Male,21,176,blonde,False
B,5761,0,Male,34,213,blonde,False
A,5762,0,Male,19,175,brown,False
B,5763,0,Male,33,218,brown,False
A,5764,0,Male,21,177,brown,False
B,5765,0,Male,42,204,brown,False
A,5766,0,Male,22,165,blonde,False
B,5767,0,Male,40,200,brown,False
A,5768,0,Male,17,179,blonde,False
C,5769,0,Male,44,164,brown,False
D,5770,0,Male,76,167,blonde,True
D,5771,0,Male,73,177,blonde,True
D,5772,0,Male,74,178,blonde,True
B,5773,0,Male,44,205,blonde,False
A,5774,0,Male,21,170,brown,False
B,5775,0,Male,39,214,brown,False
A,5776,0,Male,24,167,blonde,False
B,5777,0,Male,34,203,blonde,False
A,5778,0,Male,16,177,blonde,False
B,5779,0,Male,44,203,blonde,False
C,5780,0,Male,40,159,blonde,False
D,5781,0,Male,76,176,brown,True
D,5782,0,Male,75,171,blonde,True
B,5783,0,Male,36,220,brown,False
A,5784,0,Male,25,176,blonde,False
B,5785,0,Male,40,215,blonde,False
A,5786,0,Male,21,176,brown,False
C,5787,0,Male,37,161,blonde,False
D,5788,0,Male,65,175,blonde,True
D,5789,0,Male,77,180,blonde,True
B,5790,0,Male,33,208,brown,False
C,5791,0,Male,40,164,brown,False
D,5792,0,Male,75,165,blonde,True
D,5793,0,Male,71,170,blonde,True
B,5794,0,Male,45,201,brown,False
C,5795,0,Male,44,156,brown,False
D,5796,0,Male,80,175,blonde,True
B,5797,0,Male,45,205,brown,False
C,5798,0,Male,34,157,blonde,False
D,5799,0,Male,71,167,blonde,True
D,5800,0,Male,69,178,blonde,True
B,5801,0,Male,45,201,brown,False
A,5802,0,Male,24,172,blonde,False
B,5803,0,Male,43,217,brown,False
A,5804,0,Male,18,171,brown,False
B,5805,0,Male,40,206,brown,False
A,5806,0,Male,21,171,blonde,False
B,5807,0,Male,34,217,blonde,False
C,5808,0,Male,33,159,brown,False
D,5809,0,Male,79,176,brown,True
B,5810,0,Male,43,203,blonde,False
A,5811,0,Male,17,172,blonde,False
C,5812,0,Male,33,159,brown,False
D,5813,0,Male,76,175,blonde,True
B,5814,0,Male,45,202,brown,False
C,5815,0,Male,37,157,blonde,False
D,5816,0,Male,79,171,blonde,True
B,5817,0,Male,34,217,blonde,False
A,5818,0,Male,25,165,blonde,False
B,5819,0,Male,40,209,blonde,False
C,5820,0,Male,36,157,brown,False
A,5821,0,Male,19,172,brown,False
B,5822,0,Male,32,211,brown,False
A,5823,0,Male,18,178,blonde,False
B,5824,0,Male,45,210,brown,False
C,5825,0,Male,45,156,blonde,False
D,5826,0,Male,74,168,brown,True
D,5827,0,Male,65,165,brown,True
B,5828,0,Male,32,215,blonde,False
C,5829,0,Male,36,163,brown,False
D,5830,0,Male,69,175,blonde,True
B,5831,0,Male,44,201,brown,False
A,5832,0,Male,22,167,blonde,False
B,5833,0,Male,36,217,brown,False
A,5834,0,Male,19,167,blonde,False
C,5835,0,Male,40,157,brown,False
D,5836,0,Male,72,166,brown,True
B,5837,0,Male,33,220,blonde,False
C,5838,0,Male,32,158,brown,False
D,5839,0,Male,70,175,blonde,True
B,5840,0,Male,38,207,blonde,False
C,5841,0,Male,43,158,brown,False
D,5842,0,Male,80,166,brown,True
B,5843,0,Male,32,206,brown,False
A,5844,0,Male,22,167,blonde,False
B,5845,0,Male,40,208,blonde,False
A,5846,0,Male,16,178,blonde,False
B,5847,0,Male,32,216,brown,False
A,5848,0,Male,21,180,brown,False
B,5849,0,Male,34,215,brown,False
A,5850,0,Male,16,167,blonde,False
B,5851,0,Male,42,217,brown,False
A,5852,0,Male,18,171,brown,False
B,5853,0,Male,33,211,blonde,False
A,5854,0,Male,23,177,brown,False
B,5855,0,Male,43,214,blonde,False
A,5856,0,Male,22,172,blonde,False
B,5857,0,Male,32,210,blonde,False
A,5858,0,Male,18,173,blonde,False
B,5859,0,Male,33,205,blonde,False
C,5860,0,Male,39,158,brown,False
D,5861,0,Male,77,180,brown,True
B,5862,0,Male,40,207,brown,False
C,5863,0,Male,33,160,blonde,False
D,5864,0,Male,78,180,blonde,True
B,5865,0,Male,40,216,brown,False
A,5866,0,Male,17,170,blonde,False
B,5867,0,Male,39,211,brown,False
C,5868,0,Male,33,155,blonde,False
D,5869,0,Male,70,177,blonde,True
B,5870,0,Male,40,218,blonde,False
A,5871,0,Male,24,179,blonde,False
C,5872,0,Male,39,162,brown,False
D,5873,0,Male,72,165,brown,True
B,5874,0,Male,43,208,blonde,False
A,5875,0,Male,18,169,blonde,False
B,5876,0,Male,43,202,brown,False
A,5877,0,Male,23,174,brown,False
B,5878,0,Male,32,220,brown,False
C,5879,0,Male,35,155,blonde,False
D,5880,0,Male,69,177,blonde,True
B,5881,0,Male,35,218,blonde,False
A,5882,0,Male,17,167,brown,False
B,5883,0,Male,33,215,brown,False
A,5884,0,Male,20,170,blonde,False
B,5885,0,Male,44,214,brown,False
C,5886,0,Male,36,163,blonde,False
D,5887,0,Male,65,171,blonde,True
D,5888,0,Male,75,166,brown,True
D,5889,0,Male,80,171,blonde,True
B,5890,0,Male,34,206,brown,False
A,5891,0,Male,19,173,blonde,False
B,5892,0,Male,43,202,blonde,False
A,5893,0,Male,16,170,blonde,False
B,5894,0,Male,38,206,blonde,False
A,5895,0,Male,17,167,brown,False
C,5896,0,Male,38,157,blonde,False
D,5897,0,Male,72,176,brown,True
B,5898,0,Male,38,217,brown,False
C,5899,0,Male,32,156,blonde,False
D,5900,0,Male,77,166,blonde,True
B,5901,0,Male,39,215,blonde,False
C,5902,0,Male,44,160,blonde,False
D,5903,0,Male,68,176,blonde,True
B,5904,0,Male,42,220,brown,False
C,5905,0,Male,43,159,blonde,False
D,5906,0,Male,72,167,brown,True
B,5907,0,Male,41,216,blonde,False
A,5908,0,Male,23,176,blonde,False
B,5909,0,Male,41,200,blonde,False
A,5910,0,Male,22,171,brown,False
B,5911,0,Male,34,211,brown,False
C,5912,0,Male,41,162,blonde,False
A,5913,0,Male,19,176,blonde,False
B,5914,0,Male,34,202,brown,False
A,5915,0,Male,16,175,blonde,False
B,5916,0,Male,42,210,blonde,False
A,5917,0,Male,16,179,brown,False
B,5918,0,Male,39,217,brown,False
A,5919,0,Male,21,166,blonde,False
B,5920,0,Male,40,206,brown,False
C,5921,0,Male,43,159,brown,False
D,5922,0,Male,75,167,blonde,True
B,5923,0,Male,42,200,brown,False
A,5924,0,Male,19,166,brown,False
B,5925,0,Male,32,213,brown,False
A,5926,0,Male,23,171,blonde,False
B,5927,0,Male,34,202,brown,False
A,5928,0,Male,18,171,brown,False
B,5929,0,Male,34,202,brown,False
C,5930,0,Male,36,162,blonde,False
D,5931,0,Male,78,178,blonde,True
D,5932,0,Male,67,179,blonde,True
D,5933,0,Male,72,169,brown,True
D,5934,0,Male,79,172,brown,True
B,5935,0,Male,44,216,blonde,False
A,5936,0,Male,24,177,blonde,False
B,5937,0,Male,36,216,brown,False
A,5938,0,Male,18,165,brown,False
B,5939,0,Male,42,205,blonde,False
A,5940,0,Male,20,167,brown,False
B,5941,0,Male,41,217,blonde,False
A,5942,0,Male,20,165,brown,False
B,5943,0,Male,39,208,brown,False
A,5944,0,Male,22,170,blonde,False
B,5945,0,Male,44,207,brown,False
C,5946,0,Male,45,158,brown,False
D,5947,0,Male,66,166,brown,True
B,5948,0,Male,37,204,brown,False
A,5949,0,Male,18,171,brown,False
C,5950,0,Male,36,162,brown,False
D,5951,0,Male,78,178,brown,True
B,5952,0,Male,34,217,brown,False
C,5953,0,Male,32,164,blonde,False
D,5954,0,Male,68,176,blonde,True
B,5955,0,Male,42,215,brown,False
A,5956,0,Male,17,167,blonde,False
B,5957,0,Male,43,210,blonde,False
C,5958,0,Male,40,157,brown,False
D,5959,0,Male,67,179,brown,True
B,5960,0,Male,32,201,blonde,False
C,5961,0,Male,39,157,blonde,False
D,5962,0,Male,68,179,brown,True
D,5963,0,Male,70,167,blonde,True
D,5964,0,Male,79,174,brown,True
D,5965,0,Male,79,167,brown,True
B,5966,0,Male,43,203,blonde,False
C,5967,0,Male,33,156,blonde,False
D,5968,0,Male,76,178,blonde,True
B,5969,0,Male,32,214,blonde,False
A,5970,0,Male,23,176,brown,False
B,5971,0,Male,37,202,brown,False
A,5972,0,Male,20,174,brown,False
B,5973,0,Male,41,210,brown,False
A,5974,0,Male,24,176,blonde,False
B,5975,0,Male,45,213,brown,False
A,5976,0,Male,20,167,brown,False
C,5977,0,Male,35,157,brown,False
D,5978,0,Male,67,173,blonde,True
D,5979,0,Male,67,175,blonde,True
D,5980,0,Male,79,174,blonde,True
B,5981,0,Male,45,207,brown,False
A,5982,0,Male,20,179,blonde,False
B,5983,0,Male,39,203,brown,False
A,5984,0,Male,24,175,brown,False
B,5985,0,Male,34,216,blonde,False
C,5986,0,Male,36,159,blonde,False
D,5987,0,Male,67,173,blonde,True
B,5988,0,Male,38,219,brown,False
A,5989,0,Male,19,167,blonde,False
B,5990,0,Male,32,202,blonde,False
C,5991,0,Male,44,160,brown,False
D,5992,0,Male,75,171,blonde,True
B,5993,0,Male,37,213,blonde,False
A,5994,0,Male,23,170,brown,False
C,5995,0,Male,41,162,brown,False
D,5996,0,Male,76,178,blonde,True
D,5997,0,Male,70,176,brown,True
B,5998,0,Male,32,207,blonde,False
A,5999,0,Male,19,165,blonde,False
B,6000,0,Male,43,204,blonde,False
A,6001,0,Male,17,171,brown,False
B,6002,0,Male,44,206,blonde,False
C,6003,0,Male,41,164,blonde,False
D,6004,0,Male,72,168,blonde,True
D,6005,0,Male,68,179,blonde,True
D,6006,0,Male,67,176,blonde,True
B,6007,0,Male,44,208,brown,False
A,6008,0,Male,25,178,blonde,False
B,6009,0,Male,44,212,blonde,False
C,6010,0,Male,37,156,brown,False
D,6011,0,Male,76,179,brown,True
D,6012,0,Male,74,170,brown,True
D,6013,0,Male,66,179,blonde,True
B,6014,0,Male,35,202,blonde,False
A,6015,0,Male,23,175,brown,False
B,6016,0,Male,43,215,brown,False
A,6017,0,Male,24,169,blonde,False
B,6018,0,Male,44,214,brown,False
C,6019,0,Male,41,159,brown,False
A,6020,0,Male,18,169,brown,False
B,6021,0,Male,35,201,blonde,False
A,6022,0,Male,25,173,blonde,False
B,6023,0,Male,38,212,blonde,False
C,6024,0,Male,32,160,blonde,False
D,6025,0,Male,78,171,brown,True
B,6026,0,Male,37,208,blonde,False
A,6027,0,Male,20,168,blonde,False
B,6028,0,Male,41,205,blonde,False
A,6029,0,Male,18,176,brown,False
B,6030,0,Male,37,202,brown,False
C,6031,0,Male,32,157,brown,False
D,6032,0,Male,75,172,brown,True
B,6033,0,Male,34,215,brown,False
A,6034,0,Male,21,177,brown,False
B,6035,0,Male,43,205,blonde,False
C,6036,0,Male,36,160,blonde,False
D,6037,0,Male,68,171,blonde,True
B,6038,0,Male,35,200,blonde,False
C,6039,0,Male,40,159,brown,False
D,6040,0,Male,68,180,blonde,True
D,6041,0,Male,68,178,blonde,True
D,6042,0,Male,76,179,brown,True
B,6043,0,Male,34,203,brown,False
C,6044,0,Male,35,161,brown,False
D,6045,0,Male,67,166,brown,True
B,6046,0,Male,41,214,brown,False
C,6047,0,Male,40,158,brown,False
D,6048,0,Male,67,177,blonde,True
B,6049,0,Male,36,200,blonde,False
C,6050,0,Male,43,162,blonde,False
D,6051,0,Male,73,173,blonde,True
D,6052,0,Male,74,170,brown,True
D,6053,0,Male,75,170,blonde,True
B,6054,0,Male,32,205,brown,False
C,6055,0,Male,35,155,brown,False
D,6056,0,Male,75,173,brown,True
B,6057,0,Male,36,200,blonde,False
C,6058,0,Male,36,157,brown,False
D,6059,0,Male,74,170,brown,True
D,6060,0,Male,74,180,blonde,True
B,6061,0,Male,44,219,blonde,False
A,6062,0,Male,20,168,brown,False
B,6063,0,Male,44,210,blonde,False
C,6064,0,Male,32,156,brown,False
D,6065,0,Male,76,177,brown,True
B,6066,0,Male,44,204,brown,False
A,6067,0,Male,18,168,blonde,False
B,6068,0,Male,40,205,blonde,False
A,6069,0,Male,21,172,brown,False
C,6070,0,Male,42,161,brown,False
D,6071,0,Male,70,171,blonde,True
B,6072,0,Male,36,218,blonde,False
C,6073,0,Male,33,158,brown,False
D,6074,0,Male,80,168,blonde,True
B,6075,0,Male,45,220,blonde,False
A,6076,0,Male,20,175,brown,False
B,6077,0,Male,38,219,blonde,False
A,6078,0,Male,21,175,brown,False
B,6079,0,Male,42,202,brown,False
A,6080,0,Male,16,168,brown,False
B,6081,0,Male,45,215,blonde,False
C,6082,0,Male,32,161,brown,False
D,6083,0,Male,72,171,brown,True
B,6084,0,Male,35,200,brown,False
C,6085,0,Male,42,157,brown,False
D,6086,0,Male,71,165,blonde,True
B,6087,0,Male,44,219,blonde,False
C,6088,0,Male,33,163,blonde,False
D,6089,0,Male,78,167,brown,True
B,6090,0,Male,33,210,brown,False
A,6091,0,Male,25,178,brown,False
C,6092,0,Male,45,160,brown,False
D,6093,0,Male,77,170,blonde,True
D,6094,0,Male,72,170,blonde,True
D,6095,0,Male,68,165,brown,True
B,6096,0,Male,42,217,blonde,False
C,6097,0,Male,45,161,brown,False
D,6098,0,Male,79,172,brown,True
B,6099,0,Male,44,215,blonde,False
C,6100,0,Male,34,161,brown,False
D,6101,0,Male,76,166,brown,True
B,6102,0,Male,42,207,brown,False
C,6103,0,Male,39,157,brown,False
D,6104,0,Male,74,170,blonde,True
D,6105,0,Male,74,171,brown,True
D,6106,0,Male,79,165,blonde,True
D,6107,0,Male,65,167,blonde,True
D,6108,0,Male,80,175,blonde,True
B,6109,0,Male,41,206,brown,False
A,6110,0,Male,17,166,brown,False
B,6111,0,Male,35,201,blonde,False
C,6112,0,Male,33,157,blonde,False
D,6113,0,Male,69,168,brown,True
B,6114,0,Male,41,220,brown,False
C,6115,0,Male,33,157,brown,False
A,6116,0,Male,25,172,brown,False
B,6117,0,Male,42,208,brown,False
C,6118,0,Male,35,155,blonde,False
D,6119,0,Male,74,168,blonde,True
D,6120,0,Male,76,174,brown,True
B,6121,0,Male,43,212,brown,False
C,6122,0,Male,35,163,blonde,False
D,6123,0,Male,65,171,blonde,True
B,6124,0,Male,41,219,brown,False
A,6125,0,Male,19,168,blonde,False
B,6126,0,Male,37,206,brown,False
A,6127,0,Male,25,180,brown,False
B,6128,0,Male,35,215,brown,False
A,6129,0,Male,17,167,blonde,False
C,6130,0,Male,42,161,blonde,False
D,6131,0,Male,79,168,blonde,True
B,6132,0,Male,35,214,brown,False
A,6133,0,Male,19,178,blonde,False
B,6134,0,Male,35,205,blonde,False
A,6135,0,Male,21,170,blonde,False
B,6136,0,Male,41,211,blonde,False
C,6137,0,Male,43,160,blonde,False
D,6138,0,Male,75,174,blonde,True
B,6139,0,Male,39,209,brown,False
A,6140,0,Male,16,180,blonde,False
B,6141,0,Male,37,215,blonde,False
A,6142,0,Male,22,177,brown,False
B,6143,0,Male,44,220,blonde,False
A,6144,0,Male,17,175,blonde,False
B,6145,0,Male,36,200,brown,False
C,6146,0,Male,33,163,blonde,False
D,6147,0,Male,77,170,blonde,True
B,6148,0,Male,35,212,brown,False
A,6149,0,Male,24,174,brown,False
B,6150,0,Male,36,213,brown,False
C,6151,0,Male,34,163,brown,False
D,6152,0,Male,76,173,brown,True
D,6153,0,Male,78,176,blonde,True
B,6154,0,Male,44,220,blonde,False
A,6155,0,Male,16,167,brown,False
B,6156,0,Male,45,201,brown,False
C,6157,0,Male,45,162,brown,False
D,6158,0,Male,79,168,blonde,True
B,6159,0,Male,45,208,brown,False
A,6160,0,Male,19,172,blonde,False
B,6161,0,Male,40,212,blonde,False
C,6162,0,Male,36,156,brown,False
A,6163,0,Male,23,177,blonde,False
B,6164,0,Male,39,209,blonde,False
A,6165,0,Male,20,167,brown,False
C,6166,0,Male,40,159,brown,False
D,6167,0,Male,68,165,brown,True
D,6168,0,Male,72,175,brown,True
B,6169,0,Male,40,211,blonde,False
C,6170,0,Male,42,162,brown,False
D,6171,0,Male,68,170,brown,True
B,6172,0,Male,43,218,blonde,False
C,6173,0,Male,37,161,blonde,False
D,6174,0,Male,72,178,blonde,True
B,6175,0,Male,34,212,blonde,False
A,6176,0,Male,19,165,brown,False
B,6177,0,Male,37,219,brown,False
A,6178,0,Male,19,179,blonde,False
B,6179,0,Male,39,209,brown,False
A,6180,0,Male,25,170,brown,False
C,6181,0,Male,43,158,blonde,False
A,6182,0,Male,23,165,blonde,False
B,6183,0,Male,41,213,brown,False
A,6184,0,Male,25,170,blonde,False
B,6185,0,Male,36,209,brown,False
A,6186,0,Male,24,172,blonde,False
B,6187,0,Male,43,219,brown,False
C,6188,0,Male,45,156,brown,False
D,6189,0,Male,75,169,brown,True
D,6190,0,Male,68,178,blonde,True
B,6191,0,Male,44,202,brown,False
A,6192,0,Male,22,170,brown,False
B,6193,0,Male,37,205,blonde,False
C,6194,0,Male,37,161,brown,False
A,6195,0,Male,18,173,blonde,False
B,6196,0,Male,36,200,brown,False
A,6197,0,Male,25,171,blonde,False
B,6198,0,Male,40,208,brown,False
A,6199,0,Male,16,165,brown,False
B,6200,0,Male,38,219,blonde,False
C,6201,0,Male,45,155,blonde,False
D,6202,0,Male,79,169,blonde,True
D,6203,0,Male,70,176,blonde,True
D,6204,0,Male,80,172,blonde,True
B,6205,0,Male,33,211,blonde,False
A,6206,0,Male,24,167,brown,False
B,6207,0,Male,36,208,brown,False
A,6208,0,Male,25,173,brown,False
B,6209,0,Male,43,206,blonde,False
A,6210,0,Male,21,173,brown,False
C,6211,0,Male,44,162,blonde,False
D,6212,0,Male,80,180,blonde,True
B,6213,0,Male,44,206,brown,False
C,6214,0,Male,36,158,brown,False
D,6215,0,Male,75,168,brown,True
B,6216,0,Male,42,214,blonde,False
A,6217,0,Male,17,179,blonde,False
B,6218,0,Male,43,215,blonde,False
C,6219,0,Male,43,162,blonde,False
D,6220,0,Male,70,177,blonde,True
D,6221,0,Male,76,176,blonde,True
D,6222,0,Male,78,172,blonde,True
B,6223,0,Male,36,216,blonde,False
C,6224,0,Male,41,155,blonde,False
D,6225,0,Male,68,177,brown,True
D,6226,0,Male,76,168,brown,True
D,6227,0,Male,66,169,brown,True
D,6228,0,Male,73,170,blonde,True
B,6229,0,Male,38,220,blonde,False
A,6230,0,Male,20,174,brown,False
B,6231,0,Male,32,216,brown,False
A,6232,0,Male,23,170,blonde,False
B,6233,0,Male,37,203,blonde,False
A,6234,0,Male,16,166,blonde,False
B,6235,0,Male,36,203,brown,False
A,6236,0,Male,17,175,blonde,False
B,6237,0,Male,37,203,blonde,False
C,6238,0,Male,32,162,blonde,False
D,6239,0,Male,69,167,blonde,True
B,6240,0,Male,33,205,blonde,False
A,6241,0,Male,21,170,brown,False
B,6242,0,Male,40,207,brown,False
A,6243,0,Male,24,171,blonde,False
B,6244,0,Male,32,219,blonde,False
C,6245,0,Male,33,163,brown,False
D,6246,0,Male,73,170,blonde,True
B,6247,0,Male,38,213,brown,False
A,6248,0,Male,21,166,blonde,False
B,6249,0,Male,37,219,brown,False
C,6250,0,Male,40,159,brown,False
D,6251,0,Male,74,172,blonde,True
B,6252,0,Male,45,204,blonde,False
A,6253,0,Male,22,177,blonde,False
B,6254,0,Male,43,217,blonde,False
A,6255,0,Male,17,175,brown,False
B,6256,0,Male,44,201,brown,False
A,6257,0,Male,17,174,brown,False
B,6258,0,Male,41,213,blonde,False
A,6259,0,Male,20,166,blonde,False
B,6260,0,Male,41,215,brown,False
A,6261,0,Male,25,172,blonde,False
B,6262,0,Male,42,216,blonde,False
C,6263,0,Male,39,158,blonde,False
D,6264,0,Male,70,179,brown,True
B,6265,0,Male,45,200,blonde,False
C,6266,0,Male,38,155,blonde,False
D,6267,0,Male,66,166,brown,True
B,6268,0,Male,43,213,brown,False
C,6269,0,Male,41,164,blonde,False
D,6270,0,Male,76,174,brown,True
B,6271,0,Male,35,209,blonde,False
A,6272,0,Male,19,170,blonde,False
B,6273,0,Male,36,215,blonde,False
C,6274,0,Male,35,164,blonde,False
